customer_id,first_name,last_name,tiktok_campaign,tiktok_cpa,tiktok_conversion,tiktok_dates,email_campaign,email_cpa,email_conversion,email_dates
57,Pepi,Broy,frequency purchase,$0.46 ,FALSE,11/13/22,abandoned cart,$4.38 ,FALSE,7/3/22
58,Flore,Rigg,frequency purchase,$6.80 ,FALSE,2/28/22,welcome,$1.81 ,TRUE,2/22/22
59,Bradly,Busst,cross product,$8.59 ,TRUE,3/18/22,abandoned cart,$7.33 ,FALSE,3/2/22
60,Martainn,Watkinson,frequency purchase,$1.20 ,TRUE,2/23/22,welcome,$9.06 ,FALSE,4/27/22
61,Korrie,Caslin,product launch,$6.66 ,FALSE,10/15/22,abandoned cart,$7.72 ,FALSE,4/13/22
62,Janna,Thornton-Dewhirst,abandoned cart,$2.18 ,FALSE,8/6/22,cross product,$2.33 ,FALSE,12/26/22
63,Vivi,Redrup,cross product,$0.16 ,TRUE,6/16/22,product launch,$9.21 ,FALSE,3/17/22
64,Kamila,Sprigging,frequency purchase,$3.51 ,FALSE,9/25/22,we missed you,$6.45 ,TRUE,7/29/22
65,Vidovik,Daborn,welcome,$4.98 ,FALSE,8/23/22,welcome,$8.71 ,TRUE,10/12/22
66,Brit,McCroft,frequency purchase,$4.12 ,TRUE,2/6/22,product launch,$5.97 ,TRUE,12/2/22
67,Joyan,Isles,cross product,$4.42 ,FALSE,8/14/22,welcome,$0.03 ,FALSE,10/9/22
68,Genia,Willmett,cross product,$9.91 ,TRUE,1/18/22,welcome,$7.14 ,FALSE,4/16/22
69,Adelbert,Maysor,frequency purchase,$1.70 ,TRUE,12/10/22,welcome,$9.11 ,TRUE,3/25/22
70,Cinnamon,Trimmill,frequency purchase,$5.02 ,FALSE,6/14/22,welcome,$8.92 ,FALSE,12/9/22
71,Waneta,Gladhill,welcome,$6.91 ,TRUE,12/4/22,welcome,$7.21 ,TRUE,1/4/22
72,Sisile,July,cross product,$9.20 ,FALSE,9/27/22,abandoned cart,$4.41 ,FALSE,6/29/22
73,Norbert,Camplejohn,frequency purchase,$7.91 ,FALSE,5/29/22,welcome,$1.46 ,TRUE,4/7/22
74,Ajay,Gerritsma,welcome,$8.85 ,FALSE,10/6/22,abandoned cart,$4.23 ,FALSE,2/27/22
75,Gideon,Geddes,cross product,$0.44 ,TRUE,3/5/22,frequency purchase,$1.18 ,TRUE,4/2/22
76,Greta,Stallibrass,frequency purchase,$9.64 ,TRUE,9/11/22,cross product,$6.67 ,FALSE,2/15/22
77,Ches,Pagitt,frequency purchase,$2.09 ,FALSE,2/6/22,abandoned cart,$9.67 ,FALSE,7/1/22
78,Ilyssa,Chsteney,cross product,$1.10 ,FALSE,7/22/22,we missed you,$6.51 ,FALSE,8/26/22
79,Conrado,Baythrop,welcome,$5.72 ,FALSE,4/8/22,abandoned cart,$1.16 ,TRUE,3/4/22
80,Selle,McMichell,cross product,$9.32 ,FALSE,12/29/22,frequency purchase,$9.51 ,TRUE,5/3/22
81,Bard,Espadater,cross product,$1.37 ,FALSE,2/14/22,abandoned cart,$3.27 ,TRUE,8/5/22
82,Harrie,Petticrow,welcome,$9.53 ,FALSE,12/6/22,cross product,$7.59 ,FALSE,9/28/22
83,Melodie,Floch,frequency purchase,$0.40 ,FALSE,6/29/22,product launch,$3.74 ,TRUE,8/11/22
84,Farleigh,Ivashinnikov,cross product,$3.63 ,FALSE,11/19/22,welcome,$8.68 ,TRUE,9/26/22
85,Jessika,Porker,frequency purchase,$5.56 ,FALSE,4/10/22,abandoned cart,$1.90 ,TRUE,10/7/22
86,Dion,Basler,cross product,$3.05 ,FALSE,2/23/22,welcome,$5.98 ,FALSE,2/19/22
87,Marita,Schulke,frequency purchase,$7.75 ,TRUE,12/23/22,welcome,$7.68 ,TRUE,7/13/22
88,Garald,Bigmore,product launch,$4.29 ,FALSE,12/25/22,product launch,$8.05 ,TRUE,3/9/22
89,Gayel,Chappel,product launch,$4.32 ,TRUE,6/5/22,welcome,$9.46 ,FALSE,12/25/22
90,Noach,Lightbown,cross product,$1.59 ,TRUE,12/9/22,welcome,$9.60 ,FALSE,2/2/22
91,Ethyl,Laphorn,cross product,$8.80 ,FALSE,10/7/22,product launch,$2.56 ,FALSE,7/2/22
92,Shaina,Ortsmann,frequency purchase,$9.83 ,FALSE,2/28/22,cross product,$2.23 ,TRUE,10/13/22
93,Frannie,Stockey,frequency purchase,$8.99 ,TRUE,8/6/22,frequency purchase,$6.91 ,TRUE,7/20/22
94,Muffin,Featonby,abandoned cart,$7.71 ,TRUE,5/22/22,welcome,$6.84 ,TRUE,9/14/22
95,Cassandry,Brade,product launch,$1.61 ,FALSE,1/27/22,welcome,$2.49 ,TRUE,8/6/22
96,Richard,Shadfourth,welcome,$0.77 ,FALSE,1/31/22,abandoned cart,$1.09 ,FALSE,10/28/22
97,Milli,Breslauer,cross product,$0.50 ,FALSE,5/19/22,cross product,$6.55 ,TRUE,12/13/22
98,Hally,Struss,cross product,$2.92 ,FALSE,9/27/22,frequency purchase,$7.40 ,FALSE,3/5/22
99,Carter,Cristoferi,frequency purchase,$0.65 ,FALSE,3/2/22,welcome,$4.75 ,TRUE,2/9/22
100,Grantley,Onyon,we missed you,$8.73 ,FALSE,11/7/22,welcome,$3.51 ,FALSE,10/10/22
101,Ardine,Rushe,frequency purchase,$3.72 ,TRUE,8/16/22,welcome,$6.18 ,TRUE,8/28/22
102,Gertrude,Balchin,frequency purchase,$4.75 ,FALSE,11/7/22,welcome,$7.26 ,TRUE,12/30/22
103,Gustave,Grigoryev,frequency purchase,$7.44 ,TRUE,3/31/22,cross product,$9.40 ,FALSE,4/30/22
104,Raeann,Cheshir,cross product,$9.98 ,FALSE,11/30/22,abandoned cart,$1.13 ,TRUE,5/2/22
105,Crystal,Muddiman,cross product,$6.08 ,TRUE,4/29/22,product launch,$6.33 ,TRUE,3/19/22
106,Tessy,Hessay,product launch,$4.11 ,FALSE,5/10/22,welcome,$1.48 ,TRUE,2/8/22
107,Melitta,Maddox,frequency purchase,$5.01 ,TRUE,8/29/22,welcome,$8.39 ,TRUE,8/19/22
108,Frazer,Jannasch,cross product,$2.37 ,FALSE,2/27/22,frequency purchase,$2.78 ,FALSE,4/24/22
109,Jennica,Roath,welcome,$5.49 ,TRUE,1/13/22,welcome,$2.55 ,FALSE,9/15/22
110,Rhiamon,Greasley,cross product,$6.26 ,TRUE,12/16/22,abandoned cart,$9.80 ,TRUE,6/27/22
111,Kippy,Gilbey,cross product,$1.25 ,FALSE,3/26/22,frequency purchase,$7.43 ,TRUE,6/7/22
112,Savina,Hansed,cross product,$8.92 ,TRUE,2/3/22,abandoned cart,$2.55 ,TRUE,7/26/22
113,Prescott,Lorey,cross product,$6.24 ,FALSE,7/14/22,welcome,$9.76 ,TRUE,12/23/22
114,Cyrille,Craft,frequency purchase,$2.92 ,TRUE,10/1/22,abandoned cart,$2.78 ,FALSE,3/12/22
115,Danita,Kobsch,frequency purchase,$4.61 ,FALSE,12/29/22,cross product,$3.07 ,TRUE,5/10/22
116,Hanni,Biner,cross product,$6.43 ,FALSE,5/19/22,welcome,$4.48 ,FALSE,9/29/22
117,Urbanus,Goodhand,frequency purchase,$2.67 ,TRUE,5/9/22,welcome,$1.93 ,FALSE,10/8/22
118,Sanford,Portwain,welcome,$8.70 ,FALSE,9/10/22,frequency purchase,$5.04 ,TRUE,1/23/22
119,Edgardo,Backe,frequency purchase,$9.70 ,FALSE,8/28/22,abandoned cart,$1.14 ,FALSE,7/25/22
120,Annemarie,Breache,cross product,$9.10 ,FALSE,12/22/22,welcome,$0.09 ,FALSE,9/14/22
121,Gillian,Arpur,we missed you,$0.35 ,FALSE,10/30/22,frequency purchase,$7.99 ,TRUE,6/25/22
122,Fredelia,Tabart,frequency purchase,$3.18 ,FALSE,6/25/22,welcome,$1.39 ,FALSE,1/4/22
123,Kaitlin,Van Arsdale,frequency purchase,$3.08 ,FALSE,8/3/22,welcome,$4.08 ,FALSE,8/29/22
124,Fitzgerald,Peploe,frequency purchase,$5.98 ,TRUE,9/30/22,welcome,$9.28 ,TRUE,5/27/22
125,Early,Gomme,cross product,$5.93 ,FALSE,4/1/22,abandoned cart,$4.88 ,TRUE,12/25/22
126,Archaimbaud,Thorogood,welcome,$3.54 ,FALSE,9/17/22,frequency purchase,$4.93 ,TRUE,12/26/22
127,Keslie,Towsey,frequency purchase,$2.07 ,TRUE,8/2/22,welcome,$8.64 ,TRUE,4/29/22
128,Janos,Tonkin,we missed you,$0.22 ,FALSE,11/9/22,frequency purchase,$5.79 ,TRUE,4/28/22
129,Howie,Rippon,frequency purchase,$8.19 ,FALSE,8/3/22,welcome,$9.07 ,TRUE,10/24/22
130,Loydie,Hebbron,frequency purchase,$1.66 ,FALSE,3/16/22,abandoned cart,$2.94 ,FALSE,6/7/22
131,Janie,Ratter,frequency purchase,$4.06 ,FALSE,3/18/22,cross product,$3.17 ,TRUE,8/15/22
132,Goldarina,Higginbottam,we missed you,$6.40 ,TRUE,6/1/22,welcome,$6.05 ,TRUE,1/2/22
133,Walsh,Manus,cross product,$7.75 ,FALSE,3/23/22,frequency purchase,$0.53 ,TRUE,6/23/22
134,Monti,Grestie,welcome,$4.71 ,FALSE,3/17/22,frequency purchase,$4.46 ,TRUE,8/9/22
135,Alvis,Lifton,cross product,$8.03 ,TRUE,5/11/22,product launch,$6.69 ,FALSE,9/23/22
136,Tine,Snead,we missed you,$7.09 ,FALSE,12/11/22,cross product,$0.20 ,FALSE,5/17/22
137,Brooks,Arundell,cross product,$2.02 ,FALSE,2/8/22,abandoned cart,$5.88 ,FALSE,8/13/22
138,Onida,Cahey,frequency purchase,$2.53 ,TRUE,3/5/22,welcome,$6.79 ,TRUE,12/22/22
139,Matthew,Scholefield,we missed you,$7.28 ,FALSE,4/12/22,welcome,$6.67 ,TRUE,2/13/22
140,Sibella,McBrearty,frequency purchase,$8.46 ,TRUE,1/13/22,welcome,$6.95 ,TRUE,11/26/22
141,Way,Daymont,frequency purchase,$1.73 ,FALSE,5/11/22,product launch,$2.26 ,FALSE,6/24/22
142,Christabella,Bette,welcome,$7.42 ,TRUE,6/10/22,abandoned cart,$2.67 ,FALSE,5/8/22
143,Kissie,Trowler,product launch,$0.34 ,FALSE,6/12/22,welcome,$8.65 ,FALSE,3/24/22
144,Halsy,Huikerby,cross product,$6.92 ,FALSE,5/13/22,welcome,$3.24 ,TRUE,11/1/22
145,Remy,Postins,product launch,$5.66 ,FALSE,7/4/22,welcome,$1.15 ,FALSE,2/25/22
146,Barrie,Walklate,product launch,$4.22 ,FALSE,1/23/22,cross product,$9.76 ,FALSE,1/1/22
147,Dori,Carden,frequency purchase,$5.49 ,FALSE,7/24/22,frequency purchase,$2.69 ,TRUE,7/16/22
148,Domenico,Tockell,frequency purchase,$1.06 ,TRUE,9/8/22,abandoned cart,$8.34 ,FALSE,1/24/22
149,Esma,Wallas,cross product,$3.53 ,TRUE,5/19/22,frequency purchase,$9.31 ,TRUE,5/23/22
150,Lorenza,Hilland,product launch,$8.50 ,TRUE,6/14/22,welcome,$9.33 ,TRUE,6/25/22
151,Hallsy,Wiggall,cross product,$4.34 ,FALSE,1/24/22,welcome,$6.86 ,FALSE,11/8/22
152,Nellie,Baxter,product launch,$6.42 ,FALSE,12/13/22,frequency purchase,$8.38 ,FALSE,6/23/22
153,Karil,Samsin,frequency purchase,$7.86 ,FALSE,8/3/22,welcome,$9.54 ,FALSE,3/21/22
154,Gordon,Torrecilla,frequency purchase,$4.78 ,FALSE,8/15/22,abandoned cart,$0.36 ,FALSE,2/9/22
155,Maisie,Hazzard,frequency purchase,$9.76 ,FALSE,5/16/22,welcome,$1.40 ,FALSE,12/6/22
156,Coleman,Kinton,product launch,$5.28 ,FALSE,5/31/22,abandoned cart,$2.55 ,FALSE,9/9/22
157,Carlita,Catherall,cross product,$5.99 ,FALSE,10/5/22,frequency purchase,$3.25 ,TRUE,4/24/22
158,Jenifer,Phillips,frequency purchase,$2.53 ,TRUE,3/5/22,cross product,$2.43 ,TRUE,2/14/22
159,Alfredo,Tithecote,cross product,$1.06 ,FALSE,6/24/22,abandoned cart,$5.69 ,TRUE,6/2/22
160,Pippy,Imrie,we missed you,$2.91 ,TRUE,10/3/22,welcome,$0.13 ,TRUE,6/15/22
161,Kessiah,Laguerre,frequency purchase,$1.07 ,TRUE,10/3/22,frequency purchase,$9.59 ,TRUE,10/31/22
162,Geordie,Mitcheson,abandoned cart,$2.79 ,TRUE,4/21/22,welcome,$2.97 ,TRUE,7/19/22
163,Meade,Veschambes,cross product,$7.30 ,FALSE,10/11/22,we missed you,$0.30 ,TRUE,12/15/22
164,Merrick,Cameron,frequency purchase,$7.25 ,FALSE,7/30/22,abandoned cart,$4.58 ,FALSE,6/3/22
165,Brianne,Pargeter,frequency purchase,$9.69 ,TRUE,10/14/22,welcome,$3.87 ,FALSE,1/20/22
166,Franchot,Selley,frequency purchase,$9.39 ,FALSE,11/7/22,welcome,$4.68 ,TRUE,8/24/22
167,Magdalen,Gealy,frequency purchase,$2.17 ,FALSE,2/20/22,abandoned cart,$8.95 ,FALSE,10/12/22
168,Gery,Dincke,cross product,$5.00 ,FALSE,6/18/22,we missed you,$4.11 ,TRUE,4/29/22
169,Isis,Broxton,frequency purchase,$5.95 ,FALSE,5/16/22,welcome,$1.41 ,TRUE,3/25/22
170,Neda,Wallhead,abandoned cart,$8.59 ,TRUE,4/13/22,we missed you,$6.10 ,FALSE,9/3/22
171,Devlin,Shovelton,cross product,$5.79 ,TRUE,1/2/22,welcome,$7.66 ,TRUE,8/13/22
172,Tansy,Sauvage,welcome,$0.57 ,FALSE,7/3/22,abandoned cart,$9.40 ,FALSE,3/11/22
173,Nessi,Gutowski,frequency purchase,$5.49 ,TRUE,9/8/22,welcome,$4.07 ,TRUE,6/6/22
174,Lester,Drewett,cross product,$7.97 ,FALSE,12/5/22,welcome,$0.25 ,FALSE,1/16/22
175,Pennie,Jeffcock,frequency purchase,$3.91 ,FALSE,5/14/22,welcome,$5.99 ,FALSE,12/3/22
176,Anneliese,Soff,cross product,$0.09 ,TRUE,1/27/22,welcome,$5.91 ,TRUE,11/30/22
177,Marty,England,we missed you,$5.06 ,FALSE,9/2/22,frequency purchase,$5.74 ,FALSE,1/21/22
178,Elfreda,Petrol,cross product,$6.26 ,TRUE,11/12/22,welcome,$2.64 ,FALSE,3/25/22
179,Noelani,Fearnley,cross product,$5.09 ,TRUE,6/24/22,frequency purchase,$0.61 ,TRUE,8/3/22
180,Barnett,Lowensohn,cross product,$7.94 ,TRUE,7/26/22,frequency purchase,$4.43 ,TRUE,6/28/22
181,Deana,Rabat,product launch,$7.69 ,FALSE,8/17/22,product launch,$0.81 ,TRUE,4/23/22
182,Felicdad,Cabrer,welcome,$6.10 ,TRUE,5/2/22,abandoned cart,$9.22 ,FALSE,12/2/22
183,Oberon,Weddeburn - Scrimgeour,welcome,$0.09 ,FALSE,11/28/22,welcome,$3.59 ,TRUE,3/23/22
184,Carola,Bonnyson,frequency purchase,$2.05 ,FALSE,7/7/22,welcome,$4.86 ,TRUE,3/18/22
185,Chrissy,McIlharga,frequency purchase,$2.98 ,FALSE,3/14/22,frequency purchase,$8.00 ,FALSE,1/18/22
186,Gene,Robberecht,abandoned cart,$2.82 ,TRUE,3/14/22,abandoned cart,$0.88 ,TRUE,2/26/22
187,Lela,Wickerson,product launch,$9.93 ,TRUE,6/11/22,frequency purchase,$3.40 ,FALSE,1/21/22
188,Loella,Huck,welcome,$2.98 ,TRUE,6/22/22,abandoned cart,$9.05 ,FALSE,4/9/22
189,Vivie,Moakson,welcome,$0.03 ,TRUE,11/14/22,abandoned cart,$4.65 ,FALSE,12/15/22
190,Juli,Ygou,cross product,$1.29 ,TRUE,4/24/22,welcome,$2.07 ,FALSE,7/5/22
191,Marlene,Scatchard,welcome,$0.94 ,FALSE,8/30/22,product launch,$1.75 ,TRUE,12/19/22
192,Merilyn,Sange,cross product,$8.05 ,FALSE,11/23/22,welcome,$8.43 ,TRUE,8/29/22
193,Danyette,Covelle,welcome,$4.88 ,TRUE,5/14/22,welcome,$6.06 ,FALSE,4/1/22
194,Mayer,Ferenc,frequency purchase,$6.25 ,FALSE,5/12/22,welcome,$1.50 ,TRUE,4/5/22
195,Seka,Dorrity,frequency purchase,$2.93 ,FALSE,8/1/22,cross product,$1.21 ,FALSE,2/13/22
196,Laurens,Dunsmuir,cross product,$9.86 ,FALSE,12/15/22,frequency purchase,$6.93 ,FALSE,1/10/22
197,Stesha,Pybworth,cross product,$0.66 ,TRUE,8/2/22,abandoned cart,$4.07 ,TRUE,2/22/22
198,Brittney,Agglione,we missed you,$8.91 ,FALSE,4/8/22,we missed you,$9.45 ,FALSE,7/7/22
199,Immanuel,Horsey,frequency purchase,$0.46 ,FALSE,8/8/22,frequency purchase,$6.66 ,TRUE,5/14/22
200,Leticia,Bonnier,frequency purchase,$8.69 ,TRUE,9/14/22,abandoned cart,$8.70 ,FALSE,8/22/22
201,Eugine,Parlot,cross product,$5.40 ,FALSE,2/18/22,product launch,$6.81 ,FALSE,4/30/22
202,Johnna,Aubri,frequency purchase,$7.64 ,FALSE,1/23/22,welcome,$9.10 ,TRUE,10/12/22
203,Ewen,Speeks,cross product,$2.75 ,TRUE,3/28/22,frequency purchase,$7.46 ,FALSE,4/6/22
204,Kevon,Williment,frequency purchase,$4.18 ,TRUE,11/8/22,welcome,$8.66 ,TRUE,9/20/22
205,Jacinta,Bricklebank,product launch,$7.56 ,FALSE,6/4/22,frequency purchase,$0.34 ,FALSE,11/21/22
206,Mariya,Sauter,frequency purchase,$0.20 ,FALSE,6/10/22,welcome,$0.32 ,FALSE,6/20/22
207,Flor,Fairtlough,frequency purchase,$1.81 ,FALSE,11/3/22,abandoned cart,$7.75 ,TRUE,1/19/22
208,Frazer,Phillippo,welcome,$1.61 ,FALSE,1/30/22,abandoned cart,$5.49 ,FALSE,8/14/22
209,Antonin,Lambis,product launch,$4.45 ,FALSE,11/16/22,cross product,$5.31 ,TRUE,7/16/22
210,Carrie,Rollo,abandoned cart,$1.11 ,FALSE,10/27/22,cross product,$6.57 ,FALSE,8/6/22
211,Korie,Scoble,frequency purchase,$1.03 ,FALSE,11/5/22,abandoned cart,$2.85 ,TRUE,2/18/22
212,Alyce,Kadd,welcome,$1.67 ,TRUE,12/9/22,welcome,$2.30 ,FALSE,1/17/22
213,Raf,Cordero,cross product,$3.76 ,FALSE,6/23/22,abandoned cart,$9.75 ,TRUE,10/15/22
214,Dimitry,MacMoyer,welcome,$3.57 ,TRUE,1/22/22,welcome,$5.28 ,TRUE,12/7/22
215,Sophi,Josowitz,frequency purchase,$7.81 ,TRUE,2/20/22,welcome,$9.12 ,TRUE,1/31/22
216,Adrienne,Recher,frequency purchase,$2.10 ,FALSE,12/5/22,welcome,$5.77 ,TRUE,1/16/22
217,Kai,Auletta,we missed you,$9.08 ,TRUE,5/5/22,frequency purchase,$9.65 ,FALSE,12/14/22
218,Casey,Davisson,frequency purchase,$6.14 ,FALSE,1/17/22,abandoned cart,$2.29 ,TRUE,2/22/22
219,Brendon,Caveau,welcome,$2.59 ,FALSE,6/13/22,abandoned cart,$8.72 ,FALSE,3/10/22
220,Tersina,Fortoun,welcome,$0.24 ,FALSE,11/3/22,abandoned cart,$3.53 ,FALSE,3/7/22
221,Fiona,Scrimshaw,cross product,$7.05 ,TRUE,1/9/22,welcome,$3.23 ,FALSE,5/10/22
222,Jewel,Dovey,welcome,$9.68 ,TRUE,4/11/22,frequency purchase,$0.31 ,FALSE,10/24/22
223,Mikaela,Quilligan,frequency purchase,$2.51 ,FALSE,12/15/22,abandoned cart,$1.87 ,FALSE,3/10/22
224,Ibby,Januszewski,we missed you,$0.88 ,FALSE,6/1/22,product launch,$9.31 ,TRUE,6/2/22
225,Walliw,Sitch,product launch,$1.39 ,FALSE,8/14/22,welcome,$8.47 ,FALSE,3/13/22
226,Sula,Ashdown,cross product,$7.98 ,FALSE,5/10/22,frequency purchase,$2.43 ,TRUE,11/25/22
227,Camila,Jeffcoat,abandoned cart,$4.20 ,FALSE,7/17/22,frequency purchase,$1.57 ,FALSE,7/12/22
228,Alejandrina,Ferrettino,welcome,$7.63 ,FALSE,11/16/22,cross product,$0.75 ,TRUE,7/19/22
229,Henrik,Longmire,frequency purchase,$5.34 ,TRUE,8/5/22,cross product,$0.01 ,FALSE,2/25/22
230,Hamnet,Beakes,frequency purchase,$7.05 ,FALSE,5/8/22,abandoned cart,$7.21 ,TRUE,3/1/22
231,Con,Skermer,abandoned cart,$8.91 ,TRUE,2/25/22,welcome,$8.46 ,TRUE,1/26/22
232,Scarlett,Pallatina,frequency purchase,$7.71 ,FALSE,12/8/22,abandoned cart,$5.70 ,TRUE,2/8/22
233,Gayle,Roderham,frequency purchase,$6.22 ,TRUE,11/8/22,welcome,$8.71 ,TRUE,4/27/22
234,Janeva,Beevens,frequency purchase,$9.46 ,FALSE,4/17/22,cross product,$0.02 ,TRUE,11/14/22
235,Ebenezer,Eldred,cross product,$8.79 ,FALSE,10/17/22,we missed you,$5.99 ,FALSE,8/2/22
